Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.23,2457,0.00,0.00,15.07,32.00,73,1,-9.58,1.58,0.00,0.00,13.70
48,0.21,2422,0.00,0.00,14.70,30.50,73,1,-9.72,1.56,0.00,0.00,13.70
100,0.20,2422,0.00,0.00,14.70,28.50,73,1,-9.72,1.54,0.00,0.00,14.70
153,0.19,2395,0.00,0.00,14.70,28.50,73,1,-9.72,1.54,0.00,0.00,14.70
206,0.19,2414,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,14.70
258,0.18,2401,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,18.50
311,0.18,2369,0.00,0.00,14.70,28.00,73,1,-9.87,1.54,0.00,0.00,18.50
363,0.18,2369,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,18.50
415,0.18,2320,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,18.50
468,0.18,2334,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,18.50
520,0.18,2310,0.00,0.00,14.70,28.00,73,1,-9.87,1.52,0.00,0.00,18.50
573,0.18,2276,0.00,0.00,14.70,28.00,73,0,-9.87,1.52,0.00,0.00,18.50
626,0.18,2276,0.00,0.00,14.70,28.00,73,0,-9.87,1.52,0.00,0.00,18.50
678,0.18,2234,0.00,0.00,14.70,28.00,73,0,-9.87,1.52,0.00,0.00,18.50
730,0.18,2242,0.00,0.00,14.70,28.00,73,0,-9.87,1.50,0.00,0.00,18.50
783,0.19,2199,0.00,0.00,14.70,28.00,73,1,-9.87,1.50,0.00,0.00,18.50
836,0.19,2163,0.00,0.00,14.70,28.00,73,1,-9.87,1.50,0.00,0.00,18.50
888,0.19,2163,0.00,0.00,14.70,28.00,73,1,-9.87,1.50,0.00,0.00,18.50
940,0.19,2143,0.00,0.00,14.70,28.00,73,1,-9.72,1.50,0.00,0.00,18.50
993,0.19,2058,0.00,0.00,14.70,28.00,73,0,-9.72,1.48,0.00,0.00,18.50
1046,0.19,1981,0.00,0.00,14.70,27.50,73,1,-9.72,1.48,0.00,0.00,18.50
1098,0.20,1890,0.00,0.00,14.70,27.00,73,1,-9.58,1.46,0.00,0.00,18.50
1150,0.20,1890,0.00,0.00,14.70,26.00,73,1,-9.58,1.46,0.00,0.00,18.50
1203,0.19,1806,0.00,0.00,14.70,26.00,73,1,-9.58,1.46,0.00,0.00,18.50
1255,0.21,1729,0.00,0.00,14.70,25.00,73,1,-9.58,1.44,0.00,0.00,18.50
1309,0.21,1638,0.00,0.00,14.70,24.00,73,1,-9.58,1.44,0.00,0.00,18.50
1361,0.22,1578,0.00,0.00,14.70,23.50,73,1,-9.43,1.44,0.00,0.00,18.50
1413,0.23,1578,0.00,0.00,14.70,22.50,73,1,-9.43,1.44,0.00,0.00,18.50
1466,0.23,1479,0.00,0.00,14.70,22.50,73,2,-9.29,1.44,0.00,0.00,18.50
1519,0.24,1393,0.00,0.00,14.70,21.50,73,1,-9.14,1.42,0.00,0.00,18.50
1570,0.24,1318,0.00,0.00,14.70,21.50,73,1,-9.14,1.40,0.00,0.00,18.50
1623,0.24,1260,0.00,0.00,14.70,29.50,73,1,-9.00,1.36,0.00,0.00,18.50
1675,0.24,1260,0.00,0.00,14.70,29.50,73,1,-9.00,1.34,0.00,0.00,18.50
1728,0.24,1154,0.00,0.00,14.70,29.50,73,1,-9.14,1.34,0.00,0.00,18.50
1780,0.24,1084,0.00,0.00,14.70,29.50,73,1,-9.14,1.30,0.00,0.00,18.50
1833,0.24,976,0.00,0.00,14.70,29.50,73,2,-9.00,1.30,0.00,0.00,18.50
1886,0.25,887,0.00,0.00,14.69,29.50,73,1,-8.71,1.34,0.00,0.00,18.50
1937,0.26,887,0.00,0.00,13.19,29.50,73,1,-8.71,1.36,0.00,0.00,18.50
1990,0.27,876,0.00,0.00,13.25,29.50,73,1,-8.56,1.36,0.00,0.00,18.50
2042,0.27,905,0.00,0.00,13.56,29.50,73,1,-8.27,1.34,0.00,0.00,18.50
2095,0.27,967,0.00,0.00,14.69,26.50,73,0,-8.13,1.34,0.00,0.00,18.50
2147,0.27,996,0.00,0.00,14.69,21.00,73,0,-8.27,1.32,0.00,0.00,18.50
2200,0.28,996,0.00,0.00,14.69,17.50,73,0,-8.27,1.30,0.00,0.00,18.50
2252,0.26,1024,0.00,0.00,14.69,17.50,73,1,-8.27,1.30,0.00,0.00,18.50
2305,0.24,1046,0.00,0.00,15.39,15.50,73,1,-8.42,1.26,0.00,0.00,18.50
2357,0.23,1052,0.00,0.00,15.38,15.00,73,1,-8.71,1.24,0.00,0.00,18.50
2410,0.22,1054,0.00,0.00,15.27,15.50,73,1,-8.85,1.24,0.00,0.00,18.50
2462,0.22,1054,0.00,0.00,14.71,16.50,73,1,-8.85,1.26,0.00,0.00,18.50
2515,0.23,1049,0.00,0.00,14.71,16.50,73,1,-8.85,1.26,0.00,0.00,18.50
2567,0.22,1048,0.00,0.00,14.71,17.00,73,1,-9.00,1.28,0.00,0.00,18.50
2619,0.22,1047,0.00,0.00,14.71,17.50,73,1,-9.00,1.26,0.00,0.00,18.50
2672,0.22,1039,0.00,0.00,14.71,19.00,73,1,-9.00,1.26,0.00,0.00,18.50
2725,0.22,1039,0.00,0.00,14.71,19.50,73,1,-9.00,1.28,0.00,0.00,18.50
2777,0.22,1034,0.00,0.00,14.71,19.50,73,1,-9.00,1.28,0.00,0.00,18.50
2830,0.22,1031,0.00,0.00,14.71,20.00,73,1,-9.00,1.26,0.00,0.00,18.50
2883,0.22,1018,0.00,0.00,14.71,21.50,73,1,-9.00,1.26,0.00,0.00,18.50
2935,0.22,1014,0.00,0.00,14.71,22.00,73,1,-9.00,1.26,0.00,0.00,18.50
2987,0.22,1014,0.00,0.00,14.71,22.50,73,1,-9.14,1.28,0.00,0.00,18.50
3040,0.22,1009,0.00,0.00,14.71,22.50,73,1,-9.14,1.28,0.00,0.00,18.50
3093,0.22,1000,0.00,0.00,14.71,23.50,73,1,-9.14,1.26,0.00,0.00,18.00
3144,0.22,998,0.00,0.00,14.71,23.50,73,1,-9.14,1.28,0.00,0.00,18.00
3197,0.23,992,0.00,0.00,14.70,23.50,73,1,-9.00,1.30,0.00,0.00,18.00
3249,0.23,992,0.00,0.00,14.70,24.00,73,1,-9.00,1.30,0.00,0.00,16.40
3301,0.24,989,0.00,0.00,14.70,24.00,73,1,-8.85,1.30,0.00,0.00,16.40
3354,0.24,987,0.00,0.00,14.70,24.00,73,1,-8.85,1.30,0.00,0.00,16.40
3406,0.24,989,0.00,0.00,14.70,23.50,73,1,-8.85,1.28,0.00,0.00,15.70
