Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.3,2684,0,0,15.07,40,86,4,-8.27,1.82,0,3.14,13.4
49,0.27,2684,0,0,15.28,40,86,4,-8.56,1.76,0,0.39,13.8
102,0.26,2666,0,0,14.7,39.5,86,4,-9,1.66,0,0,13.8
155,0.26,2660,0,0,14.7,38,86,3,-9,1.72,0,0,13.8
207,0.26,2635,0,0,14.7,38,86,3,-9,1.72,0,0,14.8
259,0.25,2685,0,0,14.7,37,86,2,-9,1.72,0,0,14.8
312,0.25,2621,0,0,14.7,35.5,86,1,-9.14,1.68,0,0,14.8
365,0.24,2631,0,0,14.7,33.5,86,1,-9.14,1.68,0,0,15
417,0.23,2676,0,0,14.7,32,86,0,-9.29,1.66,0,0,15
469,0.22,2627,0,0,14.7,32,86,0,-9.58,1.66,0,0,14.6
523,0.21,2636,0,0,15.02,30.5,86,1,-9.58,1.64,0,0,14.6
574,0.2,2636,0,0,14.7,29,86,1,-9.58,1.6,0,0,14.6
627,0.19,2667,0,0,14.7,28,86,1,-9.72,1.6,0,0,15.9
679,0.19,2628,0,0,14.7,28,86,1,-9.72,1.58,0,0,15.9
732,0.19,2630,0,0,14.7,28,86,1,-9.72,1.58,0,0,15.9
784,0.19,2627,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
837,0.19,2627,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
889,0.19,2602,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
942,0.19,2600,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
994,0.19,2618,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
1046,0.18,2597,0,0,14.7,28,86,1,-9.72,1.58,0,0,18.5
1099,0.19,2597,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1151,0.19,2601,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1204,0.18,2584,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1256,0.19,2566,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1309,0.18,2574,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1361,0.18,2574,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1413,0.18,2575,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1467,0.18,2570,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1519,0.18,2569,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1572,0.18,2607,0,0,14.7,28,86,1,-9.87,1.58,0,0,18.5
1624,0.18,2543,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1677,0.18,2540,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1730,0.18,2551,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1781,0.18,2540,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1834,0.18,2528,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1887,0.18,2528,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1939,0.18,2516,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
1992,0.18,2522,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2045,0.18,2518,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2098,0.18,2505,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2150,0.18,2505,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2202,0.18,2492,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2255,0.18,2509,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2308,0.18,2490,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2360,0.18,2464,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2413,0.18,2464,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2465,0.18,2476,0,0,14.7,28,86,1,-9.87,1.56,0,0,18.5
2517,0.18,2459,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2570,0.18,2428,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2623,0.18,2424,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2675,0.18,2424,0,0,14.7,28,86,1,-9.87,1.54,0,0,18.5
2728,0.18,2421,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
2780,0.18,2400,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
2833,0.18,2397,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
2885,0.18,2423,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
2937,0.18,2359,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
2990,0.18,2345,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
3043,0.18,2343,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
3095,0.18,2303,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
3147,0.18,2300,0,0,14.7,28,86,1,-9.87,1.52,0,0,18.5
3200,0.18,2300,0,0,14.7,28,86,0,-9.87,1.5,0,0,18.5
3252,0.18,2275,0,0,14.7,28,86,0,-9.87,1.52,0,0,18.5
3305,0.18,2258,0,0,14.7,28,86,0,-9.72,1.5,0,0,18.5
